id	dim_prodshiptochan	dim_tech_week	dim_cycle	m_names|Список	m_dfm_m_change_3_partpromo	m_dfm_m_change_3_partpromo_logics	m_dfm_m_change_3_promovol	m_dfm_m_change_3_regvol	m_dfm_m_change_3_totalvol
?	1636610	2190986	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636611	2190960	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636611	2190965	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636611	2190980	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636612	2190960	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636612	2190965	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636612	2190986	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636628	2190960	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636628	2190965	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636628	2190986	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636629	2190960	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636629	2190965	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636629	2190986	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636645	2190960	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636645	2190965	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636645	2190986	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636646	2190960	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636646	2190965	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636646	2190980	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636647	2190960	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636647	2190965	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
